

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
024.608  000.210  000.210: require('lvim.core.gitsigns')
024.797  000.165  000.165: require('lvim.core.cmp')
025.334  000.114  000.114: require('cmp.utils.debug')
025.502  000.108  000.108: require('cmp.utils.char')
025.509  000.174  000.066: require('cmp.utils.str')
025.555  000.045  000.045: require('cmp.utils.pattern')
025.864  000.132  000.132: require('cmp.utils.misc')
025.905  000.040  000.040: require('cmp.utils.buffer')
025.930  000.024  000.024: require('cmp.utils.api')
025.934  000.286  000.090: require('cmp.utils.keymap')
025.937  000.381  000.095: require('cmp.utils.feedkeys')
025.964  000.026  000.026: require('cmp.utils.async')
026.067  000.023  000.023: require('cmp.types.cmp')
026.116  000.031  000.031: require('cmp.types.lsp')
026.133  000.016  000.016: require('cmp.types.vim')
026.134  000.149  000.079: require('cmp.types')
026.154  000.019  000.019: require('cmp.utils.cache')
026.156  000.191  000.023: require('cmp.context')
026.243  000.035  000.035: require('cmp.config.mapping')
026.293  000.027  000.027: require('cmp.config.compare')
026.295  000.050  000.024: require('cmp.config.default')
026.306  000.122  000.037: require('cmp.config')
026.357  000.020  000.020: require('cmp.matcher')
026.361  000.054  000.034: require('cmp.entry')
026.366  000.209  000.033: require('cmp.source')
026.409  000.019  000.019: require('cmp.utils.event')
026.458  000.027  000.027: require('cmp.utils.window')
026.460  000.050  000.024: require('cmp.view.docs_view')
026.516  000.024  000.024: require('cmp.utils.autocmd')
026.521  000.060  000.035: require('cmp.view.custom_entries_view')
026.552  000.030  000.030: require('cmp.view.wildmenu_entries_view')
026.578  000.026  000.026: require('cmp.view.native_entries_view')
026.609  000.030  000.030: require('cmp.view.ghost_text_view')
026.615  000.248  000.033: require('cmp.view')
026.705  001.607  000.220: require('cmp.core')
026.812  000.021  000.021: require('cmp.config.sources')
026.831  000.017  000.017: require('cmp.config.window')
026.861  002.063  000.417: require('cmp')
026.985  000.019  000.019: require('luasnip.session')
027.016  000.030  000.030: require('luasnip.util.util')
027.033  000.017  000.017: require('luasnip.util.types')
027.069  000.018  000.018: require('luasnip.util.ext_opts')
027.071  000.037  000.019: require('luasnip.nodes.util')
027.088  000.016  000.016: require('luasnip.util.events')
027.093  000.150  000.031: require('luasnip.nodes.node')
027.172  000.019  000.019: require('luasnip.util.extend_decorator')
027.175  000.081  000.062: require('luasnip.nodes.insertNode')
027.199  000.023  000.023: require('luasnip.nodes.textNode')
027.220  000.020  000.020: require('luasnip.util.mark')
027.501  000.262  000.262: require('luasnip.util._builtin_vars')
027.587  000.366  000.104: require('luasnip.util.environ')
027.613  000.024  000.024: require('luasnip.util.pattern_tokenizer')
027.632  000.018  000.018: require('luasnip.util.dict')
027.658  000.025  000.025: require('luasnip.session.snippet_collection')
027.675  000.770  000.063: require('luasnip.nodes.snippet')
027.716  000.019  000.019: require('luasnip.loaders._caches')
027.747  000.030  000.030: require('luasnip.util.path')
027.766  000.089  000.041: require('luasnip.loaders')
027.831  000.058  000.058: require('luasnip.nodes.functionNode')
027.867  000.034  000.034: require('luasnip.nodes.choiceNode')
027.897  000.029  000.029: require('luasnip.nodes.dynamicNode')
027.926  000.029  000.029: require('luasnip.nodes.restoreNode')
027.994  000.022  000.022: require('luasnip.util.parser.neovim_ast')
028.390  000.024  000.024: require('luasnip.util.directed_graph')
028.395  000.447  000.402: require('luasnip.util.parser.ast_utils')
028.443  000.023  000.023: require('luasnip.util.functions')
028.447  000.051  000.028: require('luasnip.util.parser.ast_parser')
028.488  000.040  000.040: require('luasnip.util.parser.neovim_parser')
028.509  000.020  000.020: require('luasnip.util.str')
028.512  000.584  000.025: require('luasnip.util.parser')
028.561  000.021  000.021: require('luasnip.extras.filetype_functions')
028.587  000.018  000.018: require('luasnip.nodes.absolute_indexer')
028.611  000.023  000.023: require('luasnip.extras')
028.636  000.023  000.023: require('luasnip.extras.fmt')
028.707  000.019  000.019: require('luasnip.extras.conditions')
028.725  000.018  000.018: require('luasnip.extras.conditions.show')
028.729  000.060  000.023: require('luasnip.extras.conditions.expand')
028.730  000.093  000.033: require('luasnip.extras.expand_conditions')
028.754  000.023  000.023: require('luasnip.extras.postfix')
028.957  000.444  000.244: require('luasnip.config')
028.960  002.098  000.060: require('luasnip')
029.846  000.064  000.064: require('lvim.core.dap')
029.912  000.056  000.056: require('lvim.core.terminal')
030.028  000.060  000.060: require('lvim.core.telescope')
030.099  000.044  000.044: require('lvim.core.treesitter')
030.151  000.048  000.048: require('lvim.core.nvimtree')
030.215  000.044  000.044: require('lvim.core.lir')
030.504  000.230  000.230: require('nvim-web-devicons')
030.531  000.024  000.024: require('lir.utils')
030.534  000.284  000.030: require('lir.devicons')
030.561  000.026  000.026: require('lir.history')
030.599  000.037  000.037: require('lir.config')
030.624  000.024  000.024: require('lir.mappings')
030.648  000.023  000.023: require('lir.highlight')
030.678  000.028  000.028: require('lir.smart_cursor')
030.704  000.025  000.025: require('lir.context')
030.744  000.040  000.040: require('lir.vim')
030.748  000.531  000.045: require('lir')
030.791  000.042  000.042: require('lir.actions')
030.824  000.032  000.032: require('lir.mark.actions')
030.885  000.025  000.025: require('lir.clipboard')
030.917  000.031  000.031: require('lir.mark.utils')
030.920  000.094  000.038: require('lir.clipboard.actions')
030.996  000.034  000.034: require('lvim.core.illuminate')
031.036  000.038  000.038: require('lvim.core.indentlines')
031.081  000.042  000.042: require('lvim.core.breadcrumbs')
031.119  000.028  000.028: require('lvim.core.project')
031.163  000.041  000.041: require('lvim.core.bufferline')
031.204  000.036  000.036: require('lvim.core.autopairs')
031.237  000.030  000.030: require('lvim.core.comment')
031.269  000.030  000.030: require('ts_context_commentstring.integrations.comment_nvim')
031.301  000.030  000.030: require('lvim.core.lualine')
031.335  000.033  000.033: require('lvim.core.alpha')
031.386  000.050  000.050: require('lvim.core.alpha.dashboard')
031.418  000.030  000.030: require('lvim.core.alpha.startify')
031.445  000.026  000.026: require('lvim.interface.text')
031.493  000.047  000.047: require('lvim.utils.git')
033.895  000.027  000.027: require('structlog.level')
033.901  000.082  000.055: require('structlog.logger')
033.959  000.030  000.030: require('structlog.formatters.format')
033.990  000.030  000.030: require('structlog.formatters.format_colorizer')
033.991  000.089  000.028: require('structlog.formatters')
034.040  000.023  000.023: require('structlog.processors.timestamper')
034.068  000.026  000.026: require('structlog.processors.stack_writer')
034.105  000.036  000.036: require('structlog.processors.namer')
034.106  000.113  000.029: require('structlog.processors')
034.179  000.023  000.023: require('structlog.formatters.key_value')
034.181  000.049  000.026: require('structlog.sinks.console')
034.206  000.025  000.025: require('structlog.sinks.nvim_notify')
034.234  000.027  000.027: require('structlog.sinks.file')
034.259  000.024  000.024: require('structlog.sinks.rotating_file')
034.261  000.153  000.029: require('structlog.sinks')
034.262  000.529  000.092: require('structlog')
036.134  000.086  000.086: require('alpha.themes.dashboard')
036.222  000.042  000.042: require('lvim.core.mason')
036.276  000.042  000.042: require('lvim.config.settings')
053.134  000.118  000.118: require('lvim.core.autocmds')
053.457  000.096  000.096: require('lvim.lsp.config')
053.622  000.065  000.065: require('lvim.config._deprecated')
053.726  000.085  000.085: require('lvim.plugin-loader')
053.962  000.053  000.053: require('packer.util')
054.003  000.244  000.191: require('packer')
054.299  000.129  000.129: require('packer.log')
054.307  000.182  000.052: require('packer.async')
054.402  000.044  000.044: require('packer.result')
054.407  000.098  000.055: require('packer.jobs')
054.414  000.358  000.078: require('packer.plugin_utils')
054.490  000.065  000.065: require('packer.snapshot')
054.693  000.077  000.077: require('lvim.core.autocmds')
054.888  000.057  000.057: require('lvim.keymappings')
055.742  000.654  000.654: require('lvim.plugins')
056.328  000.039  000.039: require('lunar.palette')
056.332  000.205  000.167: require('lunar.theme')
056.333  000.247  000.041: require('lunar')
058.306  000.705  000.705: sourcing /home/jonatas/.local/share/lunarvim/site/pack/packer/start/lunar.nvim/colors/lunar.vim
058.500  000.034  000.034: require('lualine_require')
058.732  000.332  000.299: require('lualine')
058.849  000.026  000.026: require('lvim.core.lualine.conditions')
058.876  000.026  000.026: require('lvim.core.lualine.colors')
058.890  000.109  000.057: require('lvim.core.lualine.components')
058.901  000.166  000.057: require('lvim.core.lualine.styles')
059.092  000.037  000.037: require('lualine.utils.loader')
063.392  000.048  000.048: require('lvim.core.commands')
063.449  000.036  000.036: require('lvim.lsp')
063.607  000.084  000.084: require('lspconfig.util')
063.609  000.124  000.040: require('lspconfig.configs')
063.611  000.149  000.025: require('lspconfig')
063.649  000.024  000.024: require('lvim.lsp.handlers')
063.751  000.056  000.056: require('nlspsettings.config')
063.974  000.197  000.197: require('nlspsettings.log')
063.975  000.222  000.025: require('nlspsettings.utils')
063.978  000.319  000.040: require('nlspsettings')
065.273  001.227  001.227: require('nlspsettings.schemas')
065.277  001.256  000.029: require('nlspsettings.loaders.json')
065.455  000.057  000.057: require('mason-core.functional')
065.490  000.033  000.033: require('mason-core.path')
065.518  000.027  000.027: require('mason.settings')
065.612  000.031  000.031: require('mason-core.functional.data')
065.616  000.056  000.026: require('mason-core.functional.function')
065.647  000.022  000.022: require('mason-core.functional.relation')
065.678  000.026  000.026: require('mason-core.functional.logic')
065.689  000.169  000.065: require('mason-core.platform')
065.701  000.329  000.042: require('mason-core.log')
065.703  000.363  000.035: require('mason-lspconfig')
065.726  000.022  000.022: require('mason-lspconfig.settings')
065.799  000.033  000.033: require('mason-core.notify')
065.801  000.068  000.036: require('mason-lspconfig.lspconfig_hook')
065.898  000.022  000.022: require('mason-core.functional.table')
065.938  000.107  000.085: require('mason-lspconfig.mappings.server')
066.030  000.031  000.031: require('mason-core.async')
066.052  000.021  000.021: require('mason-core.async.uv')
066.057  000.090  000.038: require('mason-core.fs')
066.083  000.025  000.025: require('mason-core.optional')
066.114  000.030  000.030: require('mason-core.EventEmitter')
